"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","positive","positiveIncrease","recovered","states","totalTestResults","totalTestResultsIncrease"
"2020-08-23",168845,574,16697,7949,752,38980,359640,66397927,585840,1737,2131,5655990,37324,1996283,56,77646347,709006
"2020-08-22",168271,1028,16657,8207,1555,39919,358888,65812087,709781,1736,2204,5618666,45723,1984053,56,76937341,885309
"2020-08-21",167243,1110,16563,8357,1819,40940,357333,65102306,701415,1730,2286,5572943,46195,1963656,56,76052032,869078
"2020-08-20",166133,1134,16487,8483,2027,41968,355514,64400891,629623,1716,2335,5526748,43723,1945468,56,75182954,812540
"2020-08-19",164999,1424,16377,8744,1989,43289,353487,63771268,645807,1705,2371,5483025,44883,1923539,56,74370414,785758
"2020-08-18",163575,1195,16123,8866,2308,43767,351498,63125461,614496,1695,2468,5438142,40492,1887869,56,73584656,721938
"2020-08-17",162380,419,15985,8871,1277,43500,349190,62510965,624186,1678,2447,5397650,37411,1864220,56,72862718,733865
"2020-08-16",161961,618,15924,8958,651,44046,347913,61886779,742076,1665,2481,5360239,42323,1831798,56,72128853,853678
"2020-08-15",161343,1218,15891,9087,2019,44783,347262,61144703,689438,1663,2526,5317916,55809,1817332,56,71275175,864302
"2020-08-14",160125,1219,15764,9277,2214,45744,345243,60455265,800382,1665,2549,5262107,57093,1795121,56,70410873,971576
"2020-08-13",158906,1164,15629,9487,2710,47204,343029,59654883,848611,1649,2579,5205014,51621,1773505,56,69439297,1012831
"2020-08-12",157742,1518,15524,9555,2997,47949,340319,58806272,437952,1629,2604,5153393,55895,1753994,56,68426466,550874
"2020-08-11",156224,1323,15331,9136,2765,48511,337322,58368320,698463,1612,2415,5097498,55428,1713812,56,67875592,798086
"2020-08-10",154901,435,15158,9216,1661,48631,334557,57669857,689933,1592,2533,5042070,41743,1669563,56,67077506,793731
